Tanggal;Kurs_Penutupan_USD_IDR;Log_Return
10/1/2021 23:58:00;14272,1;-0,003950957
10/4/2021 23:58:00;14300,5;0,001987919
10/5/2021 23:58:00;14246;-0,003818336
10/6/2021 23:58:00;14232,4;-0,00095511
10/7/2021 23:58:00;14170,8;-0,004337546
10/8/2021 23:58:00;14246,1;0,005299676
10/11/2021 23:58:00;14194;-0,003663845
10/12/2021 23:58:00;14221,2;0,001914469
10/13/2021 23:58:00;14219,7;-0,000105482
10/14/2021 23:58:00;14078,5;-0,009979516
10/15/2021 23:58:00;14064,4;-0,001002029
10/18/2021 23:58:00;14157,2;0,006576547
10/19/2021 23:58:00;14116,8;-0,002857751
10/20/2021 23:58:00;14119,8;0,00021249
10/21/2021 23:58:00;14175;0,003901782
10/22/2021 23:58:00;14223,6;0,003422707
10/25/2021 23:58:00;14193,5;-0,002118444
10/26/2021 23:58:00;14175,7;-0,001254882
10/27/2021 23:58:00;14217,1;0,002916234
10/28/2021 23:58:00;14229;0,00083667
10/29/2021 23:58:00;14228,5;-3,51401E-05
11/1/2021 23:58:00;14276,6;0,003374838
11/2/2021 23:58:00;14289,9;0,000931161
11/3/2021 23:58:00;14366;0,00531131
11/4/2021 23:58:00;14414;0,003335653
11/5/2021 23:58:00;14319,8;-0,006556762
11/8/2021 23:58:00;14252;-0,004745947
11/9/2021 23:58:00;14290;0,002662744
11/10/2021 23:58:00;14302,4;0,000867363
11/11/2021 23:58:00;14261,7;-0,002849733
11/12/2021 23:58:00;14186,7;-0,005272716
11/15/2021 23:58:00;14185,4;-9,16393E-05
11/16/2021 23:58:00;14274,2;0,006240445
11/17/2021 23:58:00;14223,8;-0,003537094
11/18/2021 23:58:00;14204,7;-0,001343722
11/19/2021 23:58:00;14265,1;0,004243099
11/22/2021 23:58:00;14259,6;-0,000385631
11/23/2021 23:58:00;14272,5;0,000904245
11/24/2021 23:58:00;14303,4;0,002162662
11/25/2021 23:58:00;14320;0,00115989
11/26/2021 23:58:00;14408,2;0,006140327
11/29/2021 23:58:00;14377;-0,002167782
11/30/2021 23:58:00;14333;-0,003065136
12/1/2021 23:58:00;14376;0,002995579
12/2/2021 23:58:00;14443,8;0,004705107
12/3/2021 23:58:00;14514;0,004848444
12/6/2021 23:58:00;14490;-0,001654945
12/7/2021 23:58:00;14393,3;-0,006695936
12/8/2021 23:58:00;14335;-0,004058721
12/9/2021 23:58:00;14297,4;-0,002626397
12/10/2021 23:58:00;14351,9;0,003804635
12/13/2021 23:58:00;14324,7;-0,001897018
12/14/2021 23:58:00;14342,5;0,001241838
12/15/2021 23:58:00;14297,5;-0,003142461
12/16/2021 23:58:00;14380;0,005753655
12/17/2021 23:58:00;14385,7;0,000396305
12/20/2021 23:58:00;14388,7;0,000208519
12/21/2021 23:58:00;14263,9;-0,008711306
12/22/2021 23:58:00;14193,8;-0,00492662
12/23/2021 23:58:00;14167,8;-0,001833465
12/24/2021 23:58:00;14189,3;0,001516375
12/27/2021 23:58:00;14220;0,002161265
12/28/2021 23:58:00;14238,2;0,001279069
12/29/2021 23:58:00;14237;-8,42839E-05
12/30/2021 23:58:00;14285,2;0,003379827
12/31/2021 23:58:00;14215;-0,004926291
1/3/2022 23:58:00;14283,6;0,004814281
1/4/2022 23:58:00;14385,5;0,007108729
1/5/2022 23:58:00;14446,5;0,004231416
1/6/2022 23:58:00;14408;-0,002668563
1/7/2022 23:58:00;14318,5;-0,0062312
1/10/2022 23:58:00;14313;-0,000384192
1/11/2022 23:58:00;14277;-0,002518364
1/12/2022 23:58:00;14298,9;0,00153276
1/13/2022 23:58:00;14276;-0,001602806
1/14/2022 23:58:00;14314,5;0,002693204
1/17/2022 23:58:00;14349,7;0,002456027
1/18/2022 23:58:00;14382,3;0,002269248
1/19/2022 23:58:00;14362,8;-0,001356753
1/20/2022 23:58:00;14343;-0,001379512
1/21/2022 23:58:00;14329,7;-0,000927712
1/24/2022 23:58:00;14365;0,002460386
1/25/2022 23:58:00;14330,5;-0,002404559
1/26/2022 23:58:00;14366,4;0,002502014
1/27/2022 23:58:00;14389,2;0,001585778
1/28/2022 23:58:00;14381,6;-0,000528313
1/31/2022 23:58:00;14350;-0,00219967
2/1/2022 23:58:00;14322,3;-0,001932179
2/2/2022 23:58:00;14363,8;0,002893389
2/3/2022 23:58:00;14377;0,000918555
2/4/2022 23:58:00;14400,4;0,001626277
2/7/2022 23:58:00;14405,6;0,000361036
2/8/2022 23:58:00;14379,5;-0,001813439
2/9/2022 23:58:00;14334,2;-0,003155291
2/10/2022 23:58:00;14328;-0,000432626
2/11/2022 23:58:00;14344,7;0,001164871
2/14/2022 23:58:00;14303;-0,002911231
2/15/2022 23:58:00;14260,6;-0,002968816
2/16/2022 23:58:00;14274,4;0,000967233
2/17/2022 23:58:00;14348;0,005142837
2/18/2022 23:58:00;14365,9;0,001246783
2/21/2022 23:58:00;14355;-0,000759029
2/22/2022 23:58:00;14395;0,00278261
2/23/2022 23:58:00;14365;-0,002086232
2/24/2022 23:58:00;14452,5;0,006072718
2/25/2022 23:58:00;14334,2;-0,00821912
2/28/2022 23:58:00;14360;0,001798273
3/1/2022 23:58:00;14425;0,004516249
3/2/2022 23:58:00;14387,5;-0,002603038
3/3/2022 23:58:00;14358,4;-0,002024637
3/4/2022 23:58:00;14381,7;0,001621428
3/7/2022 23:58:00;14406,4;0,001715987
3/8/2022 23:58:00;14362,7;-0,003037984
3/9/2022 23:58:00;14251;-0,007807489
3/10/2022 23:58:00;14275;0,001682676
3/11/2022 23:58:00;14325,5;0,00353141
3/14/2022 23:58:00;14347,5;0,001534545
3/15/2022 23:58:00;14305,3;-0,002945613
3/16/2022 23:58:00;14263,5;-0,002926271
3/17/2022 23:58:00;14326;0,004372242
3/18/2022 23:58:00;14342,3;0,001137145
3/21/2022 23:58:00;14345;0,000188237
3/22/2022 23:58:00;14345,5;3,48547E-05
3/23/2022 23:58:00;14389;0,003027722
3/24/2022 23:58:00;14337,1;-0,003613443
3/25/2022 23:58:00;14356,4;0,001345253
3/28/2022 23:58:00;14373;0,001155611
3/29/2022 23:58:00;14334;-0,002717109
3/30/2022 23:58:00;14327,5;-0,00045357
3/31/2022 23:58:00;14351;0,001638859
4/1/2022 23:58:00;14371,4;0,001420494
4/4/2022 23:58:00;14322,3;-0,003422357
4/5/2022 23:58:00;14365,5;0,003011735
4/6/2022 23:58:00;14382;0,001147926
4/7/2022 23:58:00;14385;0,000208572
4/8/2022 23:58:00;14370,6;-0,001001544
4/11/2022 23:58:00;14360,7;-0,000689144
4/12/2022 23:58:00;14364,2;0,000243691
4/13/2022 23:58:00;14360,2;-0,000278509
4/14/2022 23:58:00;14383,9;0,001649034
4/15/2022 23:58:00;14366,7;-0,001196497
4/18/2022 23:58:00;14353,8;-0,000898313
4/19/2022 23:58:00;14364,9;0,000773016
4/20/2022 23:58:00;14351;-0,000968105
4/21/2022 23:58:00;14382;0,002157798
4/22/2022 23:58:00;14453,5;0,004959175
4/25/2022 23:58:00;14478;0,001693656
4/26/2022 23:58:00;14466;-0,000829187
4/27/2022 23:58:00;14447,5;-0,001279679
4/28/2022 23:58:00;14502;0,003765182
4/29/2022 23:58:00;14506,1;0,00028268
5/2/2022 23:58:00;14522,6;0,001136806
5/3/2022 23:58:00;14491;-0,00217829
5/4/2022 23:58:00;14425;-0,004564955
5/5/2022 23:58:00;14458,7;0,002333497
5/6/2022 23:58:00;14494,8;0,002493655
5/9/2022 23:58:00;14552,2;0,003952221
5/10/2022 23:58:00;14520,8;-0,002160081
5/11/2022 23:58:00;14543,4;0,001555178
5/12/2022 23:58:00;14632,1;0,006080463
5/13/2022 23:58:00;14665,9;0,002307326
5/16/2022 23:58:00;14645;-0,001426091
5/17/2022 23:58:00;14630,6;-0,000983754
5/18/2022 23:58:00;14740;0,007449661
5/19/2022 23:58:00;14626,8;-0,007709424
5/20/2022 23:58:00;14672,4;0,003112715
5/23/2022 23:58:00;14619,2;-0,003632445
5/24/2022 23:58:00;14635,8;0,001134849
5/25/2022 23:58:00;14597;-0,002654554
5/26/2022 23:58:00;14584,2;-0,000877277
5/27/2022 23:58:00;14520,9;-0,00434976
5/30/2022 23:58:00;14538,4;0,001204434
5/31/2022 23:58:00;14543,9;0,000378237
6/1/2022 23:58:00;14531,5;-0,000852955
6/2/2022 23:58:00;14426,8;-0,007231119
6/3/2022 23:58:00;14431,5;0,00032573
6/6/2022 23:58:00;14435,2;0,000256351
6/7/2022 23:58:00;14458,8;0,001633558
6/8/2022 23:58:00;14495,3;0,002521233
6/9/2022 23:58:00;14611,8;0,008004963
6/10/2022 23:58:00;14609,2;-0,000177954
6/13/2022 23:58:00;14795;0,012637819
6/14/2022 23:58:00;14740,8;-0,003670126
6/15/2022 23:58:00;14681;-0,004065019
6/16/2022 23:58:00;14776,1;0,00645687
6/17/2022 23:58:00;14838,8;0,004234361
6/20/2022 23:58:00;14827,7;-0,000748319
6/21/2022 23:58:00;14831,7;0,000269729
6/22/2022 23:58:00;14843;0,000761592
6/23/2022 23:58:00;14841,8;-8,08495E-05
6/24/2022 23:58:00;14817;-0,001672354
6/27/2022 23:58:00;14791;-0,001756283
6/28/2022 23:58:00;14857;0,004452247
6/29/2022 23:58:00;14877;0,001345262
6/30/2022 23:58:00;14921,9;0,003013536
7/1/2022 23:58:00;14975,1;0,003558889
7/4/2022 23:58:00;15008;0,00219457
7/5/2022 23:58:00;15037;0,001930438
7/6/2022 23:58:00;15010;-0,001797185
7/7/2022 23:58:00;14964,6;-0,003029234
7/8/2022 23:58:00;14976,9;0,000821602
7/11/2022 23:58:00;14989,1;0,000814256
7/12/2022 23:58:00;15010;0,001393375
7/13/2022 23:58:00;15030,4;0,001358171
7/14/2022 23:58:00;15037,1;0,000445664
7/15/2022 23:58:00;14996,3;-0,002716977
7/18/2022 23:58:00;14977;-0,001287813
7/19/2022 23:58:00;14960,8;-0,001082244
7/20/2022 23:58:00;15022;0,004082346
7/21/2022 23:58:00;15004,2;-0,001185631
7/22/2022 23:58:00;14974,4;-0,001988085
7/25/2022 23:58:00;14978;0,000240381
7/26/2022 23:58:00;14982,8;0,000320419
7/27/2022 23:58:00;14914,2;-0,004589097
7/28/2022 23:58:00;14849,1;-0,004374522
7/29/2022 23:58:00;14777,9;-0,004806436
8/1/2022 23:58:00;14838;0,004058636
8/2/2022 23:58:00;14890,1;0,003505105
8/3/2022 23:58:00;14900;0,00066465
8/4/2022 23:58:00;14884,7;-0,001027373
8/5/2022 23:58:00;14944,5;0,004009499
8/8/2022 23:58:00;14831,2;-0,007610269
8/9/2022 23:58:00;14856,7;0,001717872
8/10/2022 23:58:00;14756,9;-0,006740172
8/11/2022 23:58:00;14724,2;-0,002218371
8/12/2022 23:58:00;14635,5;-0,006042314
8/15/2022 23:58:00;14776,4;0,009581229
8/16/2022 23:58:00;14747,1;-0,00198486
8/17/2022 23:58:00;14764,1;0,001152105
8/18/2022 23:58:00;14845,7;0,005511703
8/19/2022 23:58:00;14837,4;-0,000559241
8/22/2022 23:58:00;14933,5;0,006455991
8/23/2022 23:58:00;14850;-0,005607146
8/24/2022 23:58:00;14845;-0,000336757
8/25/2022 23:58:00;14773;-0,004861918
8/26/2022 23:58:00;14825,6;0,003554226
8/29/2022 23:58:00;14895;0,00467017
8/30/2022 23:58:00;14850;-0,003025721
8/31/2022 23:58:00;14855;0,000336644
9/1/2022 23:58:00;14902,1;0,003165634
